id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,total_review_activity,days_since_last_review,is_available_all_year
1,Brooklyn,Clinton Hill,40.69591,-73.96284,Private room,58,2,1,2018-09-23,0.1,1,0,0.1,2626.0,0
2,Brooklyn,Fort Greene,40.68769,-73.9749,Private room,99,5,4,2017-09-29,0.17,1,250,0.68,2985.0,0
3,Brooklyn,Crown Heights,40.67667,-73.9175,Entire home/apt,180,2,126,2019-06-14,3.74,1,74,471.24,2362.0,0
4,Queens,Woodside,40.7434,-73.90588,Entire home/apt,50,1,95,2019-06-24,5.63,2,0,534.85,2352.0,0
5,Brooklyn,South Slope,40.666,-73.9902,Entire home/apt,210,4,88,2019-07-04,4.41,1,20,388.08000000000004,2342.0,0
6,Brooklyn,Bushwick,40.69746,-73.92065,Private room,101,1,28,2019-06-08,1.15,1,13,32.199999999999996,2368.0,0
7,Queens,Ridgewood,40.70384,-73.91137,Private room,75,1,11,2019-06-25,4.65,3,68,51.150000000000006,2351.0,0
8,Brooklyn,Prospect Heights,40.67625,-73.97038,Entire home/apt,166,30,1,2019-03-05,0.24,1,365,0.24,2463.0,1
9,Manhattan,Theater District,40.75976,-73.98761,Private room,249,1,22,2019-06-23,7.59,9,283,166.98,2353.0,0
10,Brooklyn,Bedford-Stuyvesant,40.67994,-73.94318,Private room,105,14,26,2019-06-05,0.42,1,285,10.92,2371.0,0
11,Brooklyn,Williamsburg,40.71821,-73.94116,Private room,115,2,0,,,2,121,,,0
12,Queens,Astoria,40.76425,-73.90489,Private room,79,1,108,2019-05-30,2.68,3,313,289.44,2377.0,0
13,Brooklyn,Bushwick,40.70087,-73.92351,Private room,70,2,90,2019-06-23,2.57,3,33,231.29999999999998,2353.0,0
14,Manhattan,East Village,40.72196,-73.98345,Private room,108,2,36,2019-06-21,1.18,1,51,42.48,2355.0,0
15,Brooklyn,Flatbush,40.64245,-73.95216,Entire home/apt,75,2,42,2019-07-05,3.73,6,87,156.66,2341.0,0
16,Manhattan,Upper East Side,40.77509,-73.95554,Private room,80,1,58,2019-06-23,3.64,1,45,211.12,2353.0,0
17,Brooklyn,Bushwick,40.69157,-73.90435,Entire home/apt,140,2,12,2019-06-23,2.07,4,48,24.839999999999996,2353.0,0
18,Manhattan,Midtown,40.75403,-73.96714,Entire home/apt,714,28,0,,,49,250,,,0
19,Manhattan,Chelsea,40.75224,-73.99487,Private room,76,3,164,2019-06-24,2.34,1,27,383.76,2352.0,0
20,Manhattan,Lower East Side,40.71994,-73.98184,Private room,150,2,32,2019-05-26,1.58,1,76,50.56,2381.0,0
21,Brooklyn,Williamsburg,40.7076,-73.94072,Entire home/apt,87,1,3,2015-10-24,0.07,1,0,0.21000000000000002,3691.0,0
22,Manhattan,Harlem,40.79891,-73.9528,Entire home/apt,105,2,42,2019-07-01,3.04,1,115,127.68,2345.0,0
23,Manhattan,Chinatown,40.71319,-73.99265,Private room,100,1,1,2015-10-13,0.02,1,0,0.02,3702.0,0
24,Manhattan,Midtown,40.7588,-73.96611,Entire home/apt,260,30,1,2018-05-25,0.07,87,341,0.07,2747.0,0
